Job Title,Salary,Company,Date,Location,Category
Зүлгүүрчин,"250,000 ₮",хувь хүн,2024-11-15 13:51,Хороо 42,"Барилга, дэд бүтэц"
Худалдааны төлөөлөгч,"3,800,000 ₮",Цахиур ХХК,2024-11-15 13:16,5-р хороолол,"Борлуулалт, худалдаа"
Зочид буудлын өрөө үйлчилгээ,"1,400,000 ₮",хувь хүн,2024-11-15 12:42,10-р хороолол,"Аялал жуулчлал, зочид буудал"
Үйлчлэгч,"1,200,000 ₮",хувь хүн,2024-11-15 12:18,100 айл,Үйлчилгээ
Угаагч,"1,400,000 ₮",хувь хүн,2024-11-15 11:49,100 айл,"Pесторан, кафе, паб"
Түгээлтийн жолооч,"2,200,000 ₮",АМНО ХХК,2024-11-15 11:20,4 хороолол,"Борлуулалт, худалдаа"
Ресепшин,"1,500,000 ₮",хувь хүн,2024-11-15 10:38,4 хороолол,"Pесторан, кафе, паб"
Худалдааны зөвлөх,"1,500,000 ₮",хувь хүн,2024-11-15 09:18,Хороо 4,"Борлуулалт, худалдаа"
захиалгын ажилтан,"1,500,000 ₮",Брикланд ХХК,2024-11-15 08:43,Хороо 20,"Маркетинг, PR менежмент"
Үйлчлэгч,"1,100,000 ₮",Максимус дистрибьюшн ХХК,2024-11-15 08:16,Чулуун овоо,Үйлчилгээ
Бараа өрөгч,"1,350,000 ₮",хувь хүн,2024-11-14 22:28,Цирк,"Борлуулалт, худалдаа"
Ээлжийн зохицуулагч,"2,200,000 ₮",М-Армор ХХК,2024-11-14 14:36,19-р хороолол,Харуул хамгаалалт
Цахилгаанчин,"2,500,000 ₮",хувь хүн,2024-11-14 11:47,Хороо 11,"Барилга, дэд бүтэц"
Усны инженер,"3,000,000 ₮",хувь хүн,2024-11-12 20:02,Хансвилл хотхон,"Барилга, дэд бүтэц"
24/48 сантехникч,"200,000 ₮",хувь хүн,2024-11-12 16:44,Хансвилл хотхон,"Барилга, дэд бүтэц"
Тавилгын бэлдэцийн үйлдвэрт чадварлаг дизайнер,"2,500,000 ₮",хувь хүн,2024-11-12 13:38,100 айл,"Дизайн, урлаг, уран сайхан"
Үндэсний хувцасны оёдолчин,"3,000,000 ₮",хувь хүн,2024-11-11 13:28,Хороо 26,Үйлдвэрлэл
Үхх боруулалтын мэргэжилтэн,"2,500,000 ₮",хувь хүн,2024-11-11 12:58,Их Монгол хороолол,"Борлуулалт, худалдаа"
Мишээлд оффис үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-11 09:34,19-р хороолол,Үйлчилгээ
Оройн ээлжинд ажиллах үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-11 09:32,Мишээл,Үйлчилгээ
Ээлжээр ажиллах үйлчлэгч,"1,500,000 ₮",хувь хүн,2024-11-11 09:32,120 мянгат,Үйлчилгээ
Евро хашаа үйлдвэрлэлд угсралтанд ажилтан,"4,000,000 ₮",хувь хүн,2024-11-10 09:52,Хороо 20,Үйлдвэрлэл
Гал тогооны ээлжийн ажилтан,"1,500,000 ₮",хувь хүн,2024-11-19,Сүхбаатарын талбай,"Pесторан, кафе, паб"
Улаанхуаранд хоолны газарт зөөгч,"1,800,000 ₮",хувь хүн,2024-11-19,Хороо 8,"Pесторан, кафе, паб"
Ширхэгийн хоолны тогооч,"1,900,000 ₮",хувь хүн,2024-11-19,Баруун 4 зам,"Pесторан, кафе, паб"
Худалдагч,"1,200,000 ₮",хувь хүн,2024-11-19,Хороо 23,Үйлдвэрлэл
"Америк, европ хоолны газар касс","1,800,000 ₮",хувь хүн,2024-11-19,Яармаг,"Pесторан, кафе, паб"
Гэрээний хуульч,"2,500,000 ₮",Монцемент Билдинг Материалс ХХК,2024-11-19,Хороо 1,Ажлын зар
Машинаа хувьдаа гаргах хүргэлтийн ажилтан,"1,500,000 ₮",Эм Ар фүүдс ХХК,2024-11-19,4 хороолол,"Борлуулалт, худалдаа"
